"Student Counts by District and Race"
"All Districts"
"Trend"

"",,"Race",,,,,,,,,,,,
"District","District Code","American Indian","American Indian or Alaska Native","Asian","Black or African American","Black, not of Hispanic Origin","Hispanic/Latino","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Not Reported","Two or More Races","White","White, not of Hispanic Origin","Total"
"South Windsor School District","=""1320011""",41,27,5156,1753,854,751,2249,83,0,1001,21073,11681,44669
"Southington School District","=""1310011""",54,61,2207,896,462,872,2938,26,0,1231,40131,18586,67464
"Sprague School District","=""1330011""",23,23,"*",39,83,78,313,"*",0,249,1922,867,3621
"Stafford School District","=""1340011""",8,59,255,122,89,183,594,11,0,267,10508,5305,17401
"Stamford Academy District","=""2820013""",0,"*","*",601,265,102,341,0,0,10,41,24,1392
"Stamford Charter School for Excellence District","=""2960013""",0,0,56,234,0,0,85,0,0,"*","*",0,381
"Stamford School District","=""1350011""","*",55,12531,21049,9631,14088,41679,39,"*",1343,37329,18151,155925
"Sterling School District","=""1360011""",19,25,41,19,7,27,119,0,0,124,3013,1450,4844
"Stonington School District","=""1370011""",104,"*",740,312,211,208,560,"*",0,263,14543,6812,23796
"Stratford School District","=""1380011""",112,95,2235,10832,5093,4234,13402,18,0,1287,22720,12070,72098
"Suffield School District","=""1390011""","*",22,605,599,171,187,801,"*",0,148,14913,7234,24688
"The Bridge Academy District","=""2690013""",0,10,22,1064,537,233,715,16,0,90,21,12,2720
"The Gilbert School District","=""9020022""","*","*",260,86,36,106,410,0,0,134,2691,1033,4765
"Thomaston School District","=""1400011""","*",8,94,61,24,49,174,"*",0,96,6454,3580,10549
"Thompson School District","=""1410011""",57,28,71,40,61,114,303,0,0,217,7155,3956,12002
"Tolland School District","=""1420011""",28,45,977,316,191,151,516,"*","*",43,17813,8782,28870
"Torrington School District","=""1430011""",42,67,1515,1300,911,1940,6232,45,0,963,21088,11023,45126
"Trailblazers Academy District","=""2780013""",0,0,"*",543,296,153,442,0,0,"*",34,16,1500
"Trumbull School District","=""1440011""",30,98,4731,2165,874,1248,3926,17,0,174,37872,17578,68713
"Unified School District #1","=""3360015""","*","*",16,2110,1649,1080,1262,0,0,51,472,460,7106
"Unified School District #2","=""3470015""",0,"*",31,589,406,312,490,"*",0,34,423,314,2607
"Union School District","=""1450011""",0,0,"*",9,8,"*",8,0,0,0,514,222,764
"Vernon School District","=""1460011""",58,"*",1924,2924,1308,1069,3109,"*",0,628,15709,7986,34771
"Voluntown School District","=""1470011""",36,19,38,44,20,38,70,6,0,99,1920,814,3104
"Wallingford School District","=""1480011""",32,79,3037,1020,572,2058,6423,23,6,215,33534,16853,63852
"Waterbury School District","=""1510011""",174,640,3143,31415,15503,24132,64999,"*","*",3953,27075,14287,185393
"Waterford School District","=""1520011""",82,156,1488,713,408,517,1495,7,0,376,14634,7237,27113
"Watertown School District","=""1530011""",66,"*",682,413,188,384,1376,"*",0,507,17915,9145,30727
